#EXPORTTYPE:DATA SINGLE
#FILE:2024-02-15_Неизотермическая кристаллизация PEG8000_25-140_3-5-10-15-17-20Kmin_50mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PEG8000
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:16.02.2024 12:03
#CORR. FILE:
#TEMPCAL:06-12-2021 13:53
#SENSITIVITY:06-12-2021 13:52
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PEG8000
#SAMPLE MASS /mg:8,606
#MATERIAL:polymer
#REFERENCE:ПВС порошок
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:100°C/3.0(K/min)/25°C
#SEGMENT:S3/24
#SEG. 3:100°C/3.0(K/min)/25°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 25.01200;33.74500;-6.354811e-02;3.45978
 25.51200;33.57923;-6.469610e-02;3.45968
 26.01200;33.41301;-6.542394e-02;3.45957
 26.51200;33.24676;-6.588298e-02;3.45947
 27.01200;33.08041;-6.671304e-02;3.45936
 27.51200;32.91397;-6.763257e-02;3.45924
 28.01200;32.74742;-6.827087e-02;3.45913
 28.51200;32.58076;-6.931515e-02;3.45901
 29.01200;32.41402;-7.009024e-02;3.45889
 29.51200;32.24720;-7.110223e-02;3.45876
 30.01200;32.08038;-7.213580e-02;3.45864
 30.51200;31.91360;-7.261224e-02;3.45851
 31.01200;31.74687;-7.416812e-02;3.45837
 31.51200;31.58021;-7.485928e-02;3.45824
 32.01200;31.41362;-7.669678e-02;3.45810
 32.51200;31.24705;-7.704679e-02;3.45796
 33.01200;31.08046;-7.847602e-02;3.45781
 33.51200;30.91386;-7.929640e-02;3.45767
 34.01200;30.74720;-8.058616e-02;3.45751
 34.51200;30.58047;-8.146104e-02;3.45736
 35.01200;30.41370;-8.248942e-02;3.45721
 35.51200;30.24685;-8.372696e-02;3.45705
 36.01200;30.07994;-8.544949e-02;3.45688
 36.51200;29.91302;-8.723852e-02;3.45672
 37.01200;29.74613;-8.994308e-02;3.45655
 37.51200;29.57931;-9.324616e-02;3.45638
 38.01200;29.41257;-9.777106e-02;3.45621
 38.51200;29.24593;     -0.10639;3.45603
 39.01200;29.07932;     -0.12347;3.45585
 39.51200;28.91275;     -0.15995;3.45567
 40.01200;28.74628;     -0.22938;3.45549
 40.51200;28.57997;     -0.34845;3.45530
 41.01200;28.41391;     -0.59040;3.45511
 41.51200;28.24804;     -1.20190;3.45491
 42.01200;28.08225;     -1.90683;3.45472
 42.51200;27.91639;     -2.13354;3.45452
 43.01200;27.75036;     -2.28792;3.45431
 43.51200;27.58417;     -2.43931;3.45411
 44.01200;27.41778;     -2.59244;3.45390
 44.51200;27.25122;     -2.51887;3.45369
 45.01200;27.08446;     -2.22611;3.45348
 45.51200;26.91753;     -1.80532;3.45326
 46.01200;26.75052;     -1.36141;3.45304
 46.51200;26.58349;     -0.93982;3.45282
 47.01200;26.41653;     -0.60038;3.45259
 47.51200;26.24970;     -0.36100;3.45236
 48.01200;26.08301;     -0.21580;3.45213
 48.51200;25.91648;     -0.14316;3.45190
 49.01200;25.75010;     -0.11434;3.45166
 49.51200;25.58381;     -0.10589;3.45142
 50.01200;25.41754;     -0.10486;3.45118
 50.51200;25.25117;     -0.10466;3.45094
 51.01200;25.08461;     -0.10454;3.45069
 51.51200;24.91773;     -0.10484;3.45044
 52.01200;24.75054;     -0.10475;3.45018
 52.51200;24.58306;     -0.10491;3.44993
 53.01200;24.41537;     -0.10531;3.44967
 53.51200;24.24763;     -0.10558;3.44940
