#EXPORTTYPE:DATA SINGLE
#FILE:2024-02-15_Неизотермическая кристаллизация PEG8000_25-140_3-5-10-15-17-20Kmin_50mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PEG8000
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:16.02.2024 12:03
#CORR. FILE:
#TEMPCAL:06-12-2021 13:53
#SENSITIVITY:06-12-2021 13:52
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PEG8000
#SAMPLE MASS /mg:8,606
#MATERIAL:polymer
#REFERENCE:ПВС порошок
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:100°C/20.0(K/min)/25°C
#SEGMENT:S23/24
#SEG. 23:100°C/20.0(K/min)/25°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
25.16300;138.15667;     -1.84085;3.45975
25.66300;138.13184;     -2.13681;3.45965
26.16300;138.10705;     -2.52387;3.45954
26.66300;138.08226;     -2.99841;3.45943
27.16300;138.05748;     -3.55241;3.45932
27.66300;138.03268;     -4.00730;3.45921
28.16300;138.00789;     -4.28146;3.45909
28.66300;137.98310;     -4.51809;3.45897
29.16300;137.95831;     -4.88285;3.45885
29.66300;137.93354;     -5.36841;3.45873
30.16300;137.90877;     -5.93482;3.45860
30.66300;137.88400;     -6.54082;3.45847
31.16300;137.85921;     -7.12385;3.45833
31.66300;137.83440;     -7.66647;3.45820
32.16300;137.80955;     -8.15503;3.45806
32.66300;137.78465;     -8.42476;3.45791
33.16300;137.75971;     -8.40147;3.45777
33.66300;137.73474;     -8.16276;3.45762
34.16300;137.70973;     -7.74784;3.45747
34.66300;137.68470;     -7.26806;3.45731
35.16300;137.65965;     -6.74515;3.45716
35.66300;137.63459;     -6.14715;3.45700
36.16300;137.60951;     -5.46601;3.45683
36.66300;137.58444;     -4.75855;3.45667
37.16300;137.55936;     -4.09491;3.45650
37.66300;137.53430;     -3.48968;3.45633
38.16300;137.50926;     -2.95297;3.45615
38.66300;137.48425;     -2.49069;3.45598
39.16300;137.45925;     -2.10381;3.45580
39.66300;137.43427;     -1.77155;3.45561
40.16300;137.40930;     -1.49348;3.45543
40.66300;137.38435;     -1.26665;3.45524
41.16300;137.35941;     -1.09083;3.45505
41.66300;137.33449;     -0.96236;3.45485
42.16300;137.30957;     -0.86960;3.45466
42.66300;137.28465;     -0.80474;3.45446
43.16300;137.25975;     -0.76143;3.45425
43.66300;137.23485;     -0.73472;3.45405
44.16300;137.20996;     -0.71830;3.45384
44.66300;137.18508;     -0.71038;3.45363
45.16300;137.16021;     -0.70615;3.45341
45.66300;137.13535;     -0.70584;3.45319
46.16300;137.11049;     -0.70679;3.45297
46.66300;137.08564;     -0.70753;3.45275
47.16300;137.06081;     -0.70836;3.45252
47.66300;137.03598;     -0.70950;3.45230
48.16300;137.01116;     -0.71061;3.45206
48.66300;136.98634;     -0.71197;3.45183
49.16300;136.96154;     -0.71277;3.45159
49.66300;136.93673;     -0.71400;3.45135
50.16300;136.91193;     -0.71522;3.45111
50.66300;136.88714;     -0.71626;3.45086
51.16300;136.86235;     -0.71719;3.45061
51.66300;136.83756;     -0.71873;3.45036
52.16300;136.81279;     -0.71992;3.45010
52.66300;136.78802;     -0.72119;3.44985
53.16300;136.76326;     -0.72228;3.44959
53.66300;136.73851;     -0.72357;3.44932
54.16300;136.71377;     -0.72523;3.44906
54.66300;136.68904;     -0.72655;3.44879
55.16300;136.66433;     -0.72791;3.44852
55.66300;136.63964;     -0.72967;3.44824
56.16300;136.61497;     -0.73131;3.44796
56.66300;136.59032;     -0.73296;3.44768
57.16300;136.56569;     -0.73438;3.44740
57.66300;136.54108;     -0.73607;3.44711
58.16300;136.51649;     -0.73784;3.44682
58.66300;136.49191;     -0.73964;3.44653
59.16300;136.46736;     -0.74120;3.44624
59.66300;136.44281;     -0.74308;3.44594
60.16300;136.41829;     -0.74508;3.44564
60.66300;136.39378;     -0.74685;3.44533
61.16300;136.36930;     -0.74875;3.44503
61.66300;136.34483;     -0.75096;3.44472
62.16300;136.32038;     -0.75388;3.44441
62.66300;136.29597;     -0.75601;3.44409
63.16300;136.27158;     -0.75844;3.44377
63.66300;136.24722;     -0.76101;3.44345
64.16300;136.22291;     -0.76291;3.44313
