#EXPORTTYPE:DATA SINGLE
#FILE:2024-02-15_Неизотермическая кристаллизация PEG8000_25-140_3-5-10-15-17-20Kmin_50mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PEG8000
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:16.02.2024 12:03
#CORR. FILE:
#TEMPCAL:06-12-2021 13:53
#SENSITIVITY:06-12-2021 13:52
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PEG8000
#SAMPLE MASS /mg:8,606
#MATERIAL:polymer
#REFERENCE:ПВС порошок
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:100°C/5.0(K/min)/25°C
#SEGMENT:S7/24
#SEG. 7:100°C/5.0(K/min)/25°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 25.02200;62.49500;     -0.11671;3.45978
 25.52200;62.39500;     -0.11762;3.45968
 26.02200;62.29514;     -0.11882;3.45957
 26.52200;62.19525;     -0.11979;3.45946
 27.02200;62.09528;     -0.12045;3.45935
 27.52200;61.99523;     -0.12169;3.45924
 28.02200;61.89506;     -0.12312;3.45913
 28.52200;61.79481;     -0.12362;3.45901
 29.02200;61.69450;     -0.12539;3.45889
 29.52200;61.59417;     -0.12652;3.45876
 30.02200;61.49386;     -0.12806;3.45863
 30.52200;61.39358;     -0.12938;3.45850
 31.02200;61.29335;     -0.13133;3.45837
 31.52200;61.19318;     -0.13281;3.45824
 32.02200;61.09307;     -0.13489;3.45810
 32.52200;60.99304;     -0.13626;3.45795
 33.02200;60.89306;     -0.13845;3.45781
 33.52200;60.79312;     -0.14194;3.45766
 34.02200;60.69318;     -0.14527;3.45751
 34.52200;60.59323;     -0.15009;3.45736
 35.02200;60.49329;     -0.15831;3.45720
 35.52200;60.39335;     -0.17139;3.45704
 36.02200;60.29343;     -0.19583;3.45688
 36.52200;60.19356;     -0.23940;3.45672
 37.02200;60.09375;     -0.31941;3.45655
 37.52200;59.99405;     -0.45732;3.45638
 38.02200;59.89450;     -0.69763;3.45620
 38.52200;59.79509;     -1.13896;3.45603
 39.02200;59.69576;     -1.91928;3.45585
 39.52200;59.59643;     -2.73631;3.45567
 40.02200;59.49704;     -3.09576;3.45548
 40.52200;59.39755;     -3.16031;3.45529
 41.02200;59.29798;     -3.26827;3.45510
 41.52200;59.19834;     -3.41256;3.45491
 42.02200;59.09863;     -3.44816;3.45471
 42.52200;58.99883;     -3.31718;3.45451
 43.02200;58.89894;     -3.03616;3.45431
 43.52200;58.79897;     -2.64879;3.45411
 44.02200;58.69894;     -2.14528;3.45390
 44.52200;58.59887;     -1.65286;3.45369
 45.02200;58.49874;     -1.21573;3.45347
 45.52200;58.39856;     -0.85894;3.45326
 46.02200;58.29831;     -0.60234;3.45304
 46.52200;58.19803;     -0.41840;3.45281
 47.02200;58.09777;     -0.29390;3.45259
 47.52200;57.99754;     -0.21866;3.45236
 48.02200;57.89737;     -0.18584;3.45213
 48.52200;57.79725;     -0.17491;3.45190
 49.02200;57.69718;     -0.17271;3.45166
 49.52200;57.59715;     -0.17265;3.45142
 50.02200;57.49715;     -0.17341;3.45118
 50.52200;57.39716;     -0.17329;3.45093
 51.02200;57.29716;     -0.17361;3.45068
 51.52200;57.19715;     -0.17409;3.45043
 52.02200;57.09713;     -0.17452;3.45018
 52.52200;56.99711;     -0.17464;3.44992
 53.02200;56.89705;     -0.17463;3.44966
 53.52200;56.79695;     -0.17477;3.44940
 54.02200;56.69677;     -0.17456;3.44913
 54.52200;56.59649;     -0.17513;3.44886
 55.02200;56.49614;     -0.17546;3.44859
 55.52200;56.39576;     -0.17622;3.44832
 56.02200;56.29540;     -0.17629;3.44804
 56.52200;56.19510;     -0.17697;3.44776
 57.02200;56.09487;     -0.17729;3.44748
 57.52200;55.99470;     -0.17726;3.44719
 58.02200;55.89459;     -0.17792;3.44690
 58.52200;55.79452;     -0.17844;3.44661
 59.02200;55.69448;     -0.17892;3.44632
 59.52200;55.59449;     -0.17906;3.44602
 60.02200;55.49453;     -0.17965;3.44572
 60.52200;55.39461;     -0.18025;3.44542
 61.02200;55.29468;     -0.18057;3.44511
 61.52200;55.19474;     -0.18067;3.44481
 62.02200;55.09480;     -0.18111;3.44449
 62.52200;54.99486;     -0.18169;3.44418
 63.02200;54.89494;     -0.18214;3.44386
 63.52200;54.79509;     -0.18324;3.44354
 64.02200;54.69529;     -0.18371;3.44322
 64.52200;54.59554;     -0.18366;3.44290
 65.02200;54.49584;     -0.18407;3.44257
