#EXPORTTYPE:DATA SINGLE
#FILE:2024-02-15_Неизотермическая кристаллизация PEG8000_25-140_3-5-10-15-17-20Kmin_50mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PEG8000
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:16.02.2024 12:03
#CORR. FILE:
#TEMPCAL:06-12-2021 13:53
#SENSITIVITY:06-12-2021 13:52
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PEG8000
#SAMPLE MASS /mg:8,606
#MATERIAL:polymer
#REFERENCE:ПВС порошок
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:100°C/17.0(K/min)/25°C
#SEGMENT:S19/24
#SEG. 19:100°C/17.0(K/min)/25°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
25.12500;120.65667;     -0.89757;3.45976
25.62500;120.62758;     -1.02265;3.45965
26.12500;120.59821;     -1.19228;3.45955
26.62500;120.56886;     -1.41061;3.45944
27.12500;120.53961;     -1.68874;3.45933
27.62500;120.51040;     -2.04193;3.45922
28.12500;120.48121;     -2.48785;3.45910
28.62500;120.45204;     -3.03656;3.45898
29.12500;120.42287;     -3.70478;3.45886
29.62500;120.39369;     -4.37936;3.45874
30.12500;120.36451;     -4.72485;3.45861
30.62500;120.33530;     -4.88060;3.45848
31.12500;120.30609;     -5.18560;3.45834
31.62500;120.27686;     -5.58026;3.45821
32.12500;120.24763;     -5.96311;3.45807
32.62500;120.21838;     -6.23598;3.45792
33.12500;120.18910;     -6.41629;3.45778
33.62500;120.15980;     -6.58709;3.45763
34.12500;120.13047;     -6.59806;3.45748
34.62500;120.10111;     -6.51433;3.45733
35.12500;120.07172;     -6.38711;3.45717
35.62500;120.04231;     -6.16996;3.45701
36.12500;120.01288;     -5.90481;3.45685
36.62500;119.98343;     -5.59641;3.45668
37.12500;119.95398;     -5.21871;3.45651
37.62500;119.92452;     -4.78996;3.45634
38.12500;119.89505;     -4.32014;3.45617
38.62500;119.86558;     -3.80031;3.45599
39.12500;119.83611;     -3.25432;3.45581
39.62500;119.80664;     -2.72257;3.45563
40.12500;119.77718;     -2.24248;3.45544
