#EXPORTTYPE:DATA SINGLE
#FILE:2024-02-15_Неизотермическая кристаллизация PEG8000_25-140_3-5-10-15-17-20Kmin_50mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PEG8000
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:16.02.2024 12:03
#CORR. FILE:
#TEMPCAL:06-12-2021 13:53
#SENSITIVITY:06-12-2021 13:52
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PEG8000
#SAMPLE MASS /mg:8,606
#MATERIAL:polymer
#REFERENCE:ПВС порошок
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:100°C/10.0(K/min)/25°C
#SEGMENT:S11/24
#SEG. 11:100°C/10.0(K/min)/25°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 25.05200;83.74500;     -0.25372;3.45977
 25.55200;83.69502;     -0.25653;3.45967
 26.05200;83.64508;     -0.25979;3.45957
 26.55200;83.59514;     -0.26337;3.45946
 27.05200;83.54520;     -0.26793;3.45935
 27.55200;83.49525;     -0.27406;3.45924
 28.05200;83.44528;     -0.28225;3.45912
 28.55200;83.39531;     -0.29324;3.45900
 29.05200;83.34534;     -0.30861;3.45888
 29.55200;83.29538;     -0.33096;3.45875
 30.05200;83.24544;     -0.36256;3.45863
 30.55200;83.19552;     -0.40915;3.45850
 31.05200;83.14562;     -0.47871;3.45836
 31.55200;83.09575;     -0.58133;3.45823
 32.05200;83.04592;     -0.73253;3.45809
 32.55200;82.99614;     -0.95193;3.45795
 33.05200;82.94644;     -1.26622;3.45780
 33.55200;82.89679;     -1.71234;3.45765
 34.05200;82.84721;     -2.34216;3.45750
 34.55200;82.79765;     -3.13848;3.45735
 35.05200;82.74807;     -3.96737;3.45719
 35.55200;82.69844;     -4.66926;3.45703
 36.05200;82.64873;     -4.98125;3.45687
 36.55200;82.59893;     -5.02499;3.45671
 37.05200;82.54906;     -5.01100;3.45654
 37.55200;82.49913;     -5.00575;3.45637
 38.05200;82.44914;     -5.01625;3.45619
 38.55200;82.39910;     -4.92491;3.45602
 39.05200;82.34901;     -4.71690;3.45584
 39.55200;82.29886;     -4.39281;3.45566
 40.05200;82.24867;     -4.00360;3.45547
 40.55200;82.19846;     -3.56290;3.45528
 41.05200;82.14823;     -3.09405;3.45509
 41.55200;82.09801;     -2.61481;3.45490
 42.05200;82.04781;     -2.16703;3.45470
 42.55200;81.99764;     -1.75899;3.45450
 43.05200;81.94748;     -1.39975;3.45430
 43.55200;81.89736;     -1.08787;3.45409
 44.05200;81.84726;     -0.83031;3.45388
 44.55200;81.79719;     -0.63111;3.45367
 45.05200;81.74714;     -0.49798;3.45346
 45.55200;81.69710;     -0.41853;3.45324
 46.05200;81.64707;     -0.37616;3.45302
 46.55200;81.59705;     -0.35716;3.45280
 47.05200;81.54702;     -0.34995;3.45257
 47.55200;81.49700;     -0.34830;3.45235
 48.05200;81.44700;     -0.34804;3.45212
 48.55200;81.39700;     -0.34791;3.45188
 49.05200;81.34703;     -0.34889;3.45164
 49.55200;81.29706;     -0.34945;3.45140
 50.05200;81.24710;     -0.34977;3.45116
 50.55200;81.19715;     -0.35044;3.45092
 51.05200;81.14720;     -0.35067;3.45067
 51.55200;81.09727;     -0.35153;3.45042
 52.05200;81.04733;     -0.35149;3.45016
 52.55200;80.99741;     -0.35255;3.44990
 53.05200;80.94748;     -0.35275;3.44964
 53.55200;80.89755;     -0.35339;3.44938
 54.05200;80.84762;     -0.35352;3.44912
 54.55200;80.79768;     -0.35417;3.44885
 55.05200;80.74774;     -0.35439;3.44858
