#EXPORTTYPE:DATA SINGLE
#FILE:2024-02-15_Неизотермическая кристаллизация PBS_25-140_3-5-10-15-17-20Kmin_50mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PBS
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:15.02.2024 11:16
#CORR. FILE:
#TEMPCAL:06-12-2021 13:53
#SENSITIVITY:06-12-2021 13:52
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PBS
#SAMPLE MASS /mg:17,842
#MATERIAL:polymer
#REFERENCE:ПВС порошок
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:140°C/20.0(K/min)/25°C
#SEGMENT:S23/24
#SEG. 23:140°C/20.0(K/min)/25°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 25.08500;162.29000;     -0.66002;3.45976
 25.58500;162.26505;     -0.66195;3.45966
 26.08500;162.24010;     -0.66438;3.45956
 26.58500;162.21515;     -0.66675;3.45945
 27.08500;162.19019;     -0.66913;3.45934
 27.58500;162.16524;     -0.67130;3.45923
 28.08500;162.14028;     -0.67379;3.45911
 28.58500;162.11532;     -0.67606;3.45899
 29.08500;162.09036;     -0.67824;3.45887
 29.58500;162.06538;     -0.68063;3.45875
 30.08500;162.04040;     -0.68280;3.45862
 30.58500;162.01540;     -0.68488;3.45849
 31.08500;161.99041;     -0.68721;3.45835
 31.58500;161.96541;     -0.68918;3.45822
 32.08500;161.94041;     -0.69115;3.45808
 32.58500;161.91542;     -0.69334;3.45794
 33.08500;161.89043;     -0.69544;3.45779
 33.58500;161.86544;     -0.69720;3.45764
 34.08500;161.84045;     -0.69947;3.45749
 34.58500;161.81546;     -0.70147;3.45734
 35.08500;161.79046;     -0.70393;3.45718
 35.58500;161.76547;     -0.70669;3.45702
 36.08500;161.74047;     -0.70908;3.45686
 36.58500;161.71546;     -0.71114;3.45670
 37.08500;161.69046;     -0.71333;3.45653
 37.58500;161.66546;     -0.71557;3.45636
 38.08500;161.64047;     -0.71802;3.45618
 38.58500;161.61547;     -0.72015;3.45601
 39.08500;161.59048;     -0.72226;3.45583
 39.58500;161.56548;     -0.72434;3.45564
 40.08500;161.54048;     -0.72661;3.45546
 40.58500;161.51547;     -0.72855;3.45527
 41.08500;161.49045;     -0.73076;3.45508
 41.58500;161.46543;     -0.73298;3.45488
 42.08500;161.44042;     -0.73550;3.45469
 42.58500;161.41539;     -0.73799;3.45449
 43.08500;161.39035;     -0.74051;3.45428
 43.58500;161.36531;     -0.74324;3.45408
 44.08500;161.34025;     -0.74638;3.45387
 44.58500;161.31518;     -0.74929;3.45366
 45.08500;161.29012;     -0.75276;3.45345
 45.58500;161.26506;     -0.75604;3.45323
 46.08500;161.24000;     -0.75951;3.45301
 46.58500;161.21494;     -0.76301;3.45279
 47.08500;161.18988;     -0.76689;3.45256
 47.58500;161.16481;     -0.77115;3.45233
 48.08500;161.13974;     -0.77581;3.45210
 48.58500;161.11468;     -0.78067;3.45187
 49.08500;161.08962;     -0.78618;3.45163
 49.58500;161.06458;     -0.79187;3.45139
 50.08500;161.03955;     -0.79829;3.45115
 50.58500;161.01453;     -0.80515;3.45090
 51.08500;160.98952;     -0.81277;3.45065
 51.58500;160.96451;     -0.82120;3.45040
 52.08500;160.93951;     -0.83033;3.45014
 52.58500;160.91451;     -0.84080;3.44989
 53.08500;160.88953;     -0.85235;3.44963
 53.58500;160.86456;     -0.86509;3.44936
 54.08500;160.83959;     -0.88010;3.44910
 54.58500;160.81462;     -0.89657;3.44883
 55.08500;160.78966;     -0.91521;3.44856
 55.58500;160.76470;     -0.93630;3.44828
 56.08500;160.73974;     -0.96012;3.44801
 56.58500;160.71479;     -0.98754;3.44773
 57.08500;160.68985;     -1.01837;3.44744
 57.58500;160.66492;     -1.05358;3.44716
 58.08500;160.64000;     -1.09363;3.44687
 58.58500;160.61509;     -1.13951;3.44658
 59.08500;160.59019;     -1.19096;3.44628
 59.58500;160.56530;     -1.25038;3.44598
 60.08500;160.54041;     -1.31725;3.44568
 60.58500;160.51552;     -1.39311;3.44538
 61.08500;160.49064;     -1.47920;3.44508
 61.58500;160.46575;     -1.57506;3.44477
 62.08500;160.44087;     -1.68041;3.44446
 62.58500;160.41599;     -1.79368;3.44414
 63.08500;160.39112;     -1.91271;3.44382
 63.58500;160.36625;     -2.03422;3.44350
 64.08500;160.34138;     -2.15628;3.44318
 64.58500;160.31652;     -2.27604;3.44285
 65.08500;160.29165;     -2.39120;3.44253
 65.58500;160.26678;     -2.49771;3.44219
 66.08500;160.24191;     -2.59279;3.44186
 66.58500;160.21703;     -2.67430;3.44152
 67.08500;160.19214;     -2.73971;3.44118
 67.58500;160.16725;     -2.78766;3.44084
 68.08500;160.14235;     -2.81597;3.44049
 68.58500;160.11743;     -2.82375;3.44014
 69.08500;160.09251;     -2.81001;3.43979
 69.58500;160.06758;     -2.77488;3.43944
 70.08500;160.04265;     -2.71961;3.43908
 70.58500;160.01771;     -2.64512;3.43872
 71.08500;159.99276;     -2.55339;3.43836
 71.58500;159.96781;     -2.44683;3.43799
 72.08500;159.94285;     -2.32862;3.43762
 72.58500;159.91789;     -2.20190;3.43725
 73.08500;159.89293;     -2.06986;3.43688
 73.58500;159.86797;     -1.93639;3.43650
 74.08500;159.84300;     -1.80406;3.43612
 74.58500;159.81804;     -1.67559;3.43574
 75.08500;159.79308;     -1.55363;3.43535
 75.58500;159.76813;     -1.43989;3.43497
 76.08500;159.74320;     -1.33552;3.43457
 76.58500;159.71827;     -1.24134;3.43418
 77.08500;159.69335;     -1.15768;3.43378
 77.58500;159.66845;     -1.08449;3.43338
 78.08500;159.64355;     -1.02148;3.43298
 78.58500;159.61866;     -0.96781;3.43258
 79.08500;159.59378;     -0.92283;3.43217
 79.58500;159.56889;     -0.88560;3.43176
 80.08500;159.54401;     -0.85539;3.43134
 80.58500;159.51913;     -0.83085;3.43093
 81.08500;159.49426;     -0.81153;3.43051
 81.58500;159.46939;     -0.79634;3.43008
 82.08500;159.44453;     -0.78437;3.42966
 82.58500;159.41969;     -0.77565;3.42923
 83.08500;159.39485;     -0.76894;3.42880
 83.58500;159.37001;     -0.76413;3.42837
 84.08500;159.34519;     -0.76082;3.42793
 84.58500;159.32036;     -0.75865;3.42749
 85.08500;159.29554;     -0.75738;3.42705
 85.58500;159.27072;     -0.75664;3.42660
 86.08500;159.24590;     -0.75645;3.42616
 86.58500;159.22110;     -0.75668;3.42571
 87.08500;159.19630;     -0.75714;3.42525
 87.58500;159.17150;     -0.75763;3.42480
 88.08500;159.14671;     -0.75839;3.42434
 88.58500;159.12193;     -0.75938;3.42388
 89.08500;159.09716;     -0.76048;3.42341
 89.58500;159.07241;     -0.76142;3.42295
 90.08500;159.04765;     -0.76255;3.42248
 90.58500;159.02291;     -0.76354;3.42200
 91.08500;158.99816;     -0.76456;3.42153
 91.58500;158.97342;     -0.76572;3.42105
 92.08500;158.94869;     -0.76681;3.42057
 92.58500;158.92396;     -0.76792;3.42008
 93.08500;158.89925;     -0.76923;3.41960
 93.58500;158.87454;     -0.77051;3.41911
 94.08500;158.84984;     -0.77181;3.41861
 94.58500;158.82515;     -0.77337;3.41812
 95.08500;158.80046;     -0.77427;3.41762
 95.58500;158.77579;     -0.77567;3.41712
 96.08500;158.75113;     -0.77707;3.41662
 96.58500;158.72649;     -0.77869;3.41611
 97.08500;158.70186;     -0.78024;3.41560
 97.58500;158.67725;     -0.78155;3.41509
 98.08500;158.65266;     -0.78330;3.41458
 98.58500;158.62808;     -0.78495;3.41406
 99.08500;158.60353;     -0.78662;3.41354
 99.58500;158.57899;     -0.78837;3.41301
100.08500;158.55449;     -0.79007;3.41249
100.58500;158.53001;     -0.79200;3.41196
101.08500;158.50555;     -0.79381;3.41143
101.58500;158.48112;     -0.79575;3.41089
102.08500;158.45672;     -0.79760;3.41036
102.58500;158.43233;     -0.79964;3.40982
103.08500;158.40798;     -0.80166;3.40928
103.58500;158.38366;     -0.80388;3.40873
104.08500;158.35937;     -0.80597;3.40818
104.58500;158.33511;     -0.80808;3.40763
105.08500;158.31088;     -0.81043;3.40708
105.58500;158.28668;     -0.81308;3.40652
106.08500;158.26251;     -0.81569;3.40596
106.58500;158.23837;     -0.81807;3.40540
107.08500;158.21427;     -0.82090;3.40484
107.58500;158.19021;     -0.82353;3.40427
108.08500;158.16620;     -0.82655;3.40370
108.58500;158.14223;     -0.82932;3.40313
109.08500;158.11832;     -0.83231;3.40255
109.58500;158.09446;     -0.83560;3.40197
110.08500;158.07065;     -0.83857;3.40139
110.58500;158.04689;     -0.84155;3.40081
111.08500;158.02320;     -0.84491;3.40022
111.58500;157.99956;     -0.84838;3.39963
112.08500;157.97598;     -0.85174;3.39904
112.58500;157.95246;     -0.85515;3.39844
113.08500;157.92900;     -0.85854;3.39785
113.58500;157.90560;     -0.86190;3.39725
114.08500;157.88226;     -0.86566;3.39664
114.58500;157.85898;     -0.86921;3.39604
115.08500;157.83578;     -0.87300;3.39543
115.58500;157.81264;     -0.87677;3.39482
116.08500;157.78958;     -0.88050;3.39420
116.58500;157.76659;     -0.88416;3.39359
117.08500;157.74368;     -0.88791;3.39297
117.58500;157.72084;     -0.89161;3.39235
118.08500;157.69809;     -0.89521;3.39172
118.58500;157.67543;     -0.89886;3.39109
119.08500;157.65285;     -0.90244;3.39046
119.58500;157.63035;     -0.90576;3.38983
120.08500;157.60794;     -0.90895;3.38919
120.58500;157.58560;     -0.91211;3.38856
121.08500;157.56335;     -0.91486;3.38791
121.58500;157.54119;     -0.91732;3.38727
122.08500;157.51912;     -0.91974;3.38662
122.58500;157.49714;     -0.92152;3.38597
123.08500;157.47526;     -0.92327;3.38532
123.58500;157.45347;     -0.92427;3.38467
124.08500;157.43176;     -0.92462;3.38401
124.58500;157.41014;     -0.92427;3.38335
125.08500;157.38860;     -0.92363;3.38269
125.58500;157.36714;     -0.92233;3.38202
126.08500;157.34575;     -0.92012;3.38135
126.58500;157.32443;     -0.91682;3.38068
127.08500;157.30318;     -0.91252;3.38001
127.58500;157.28200;     -0.90732;3.37933
128.08500;157.26087;     -0.90065;3.37865
128.58500;157.23980;     -0.89283;3.37797
129.08500;157.21877;     -0.88329;3.37729
129.58500;157.19777;     -0.87229;3.37660
130.08500;157.17679;     -0.85955;3.37591
130.58500;157.15582;     -0.84477;3.37522
131.08500;157.13484;     -0.82788;3.37452
131.58500;157.11383;     -0.80894;3.37382
132.08500;157.09278;     -0.78748;3.37312
132.58500;157.07166;     -0.76362;3.37242
133.08500;157.05043;     -0.73641;3.37171
133.58500;157.02907;     -0.70649;3.37100
134.08500;157.00753;     -0.67331;3.37029
134.58500;156.98575;     -0.63653;3.36958
135.08500;156.96365;     -0.59640;3.36886
135.58500;156.94114;     -0.55199;3.36814
136.08500;156.91806;     -0.50442;3.36742
136.58500;156.89425;     -0.45282;3.36670
137.08500;156.86943;     -0.39706;3.36597
137.58500;156.84322;     -0.33759;3.36524
138.08500;156.81500;     -0.27448;3.36450
138.58500;156.78366;     -0.20790;3.36377
139.08500;156.74688;     -0.13841;3.36303
139.58500;156.69774;-6.953244e-02;3.36229

