#EXPORTTYPE:DATA SINGLE
#FILE:2024-02-15_Неизотермическая кристаллизация PBS_25-140_3-5-10-15-17-20Kmin_50mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PBS
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:15.02.2024 11:16
#CORR. FILE:
#TEMPCAL:06-12-2021 13:53
#SENSITIVITY:06-12-2021 13:52
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PBS
#SAMPLE MASS /mg:17,842
#MATERIAL:polymer
#REFERENCE:ПВС порошок
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:140°C/5.0(K/min)/50°C
#SEGMENT:S7/24
#SEG. 7:140°C/5.0(K/min)/50°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 50.02700;73.24500;     -0.18480;3.45117
 50.52700;73.14500;     -0.18522;3.45093
 51.02700;73.04507;     -0.18556;3.45068
 51.52700;72.94512;     -0.18604;3.45043
 52.02700;72.84516;     -0.18637;3.45017
 52.52700;72.74519;     -0.18690;3.44992
 53.02700;72.64521;     -0.18719;3.44966
 53.52700;72.54525;     -0.18772;3.44940
 54.02700;72.44528;     -0.18830;3.44913
 54.52700;72.34531;     -0.18868;3.44886
 55.02700;72.24532;     -0.18921;3.44859
 55.52700;72.14532;     -0.18982;3.44832
 56.02700;72.04533;     -0.19055;3.44804
 56.52700;71.94535;     -0.19118;3.44776
 57.02700;71.84539;     -0.19192;3.44748
 57.52700;71.74546;     -0.19268;3.44719
 58.02700;71.64554;     -0.19335;3.44690
 58.52700;71.54560;     -0.19408;3.44661
 59.02700;71.44564;     -0.19475;3.44632
 59.52700;71.34564;     -0.19537;3.44602
 60.02700;71.24559;     -0.19635;3.44572
 60.52700;71.14553;     -0.19708;3.44542
 61.02700;71.04544;     -0.19793;3.44511
 61.52700;70.94535;     -0.19883;3.44480
 62.02700;70.84527;     -0.20005;3.44449
 62.52700;70.74520;     -0.20110;3.44418
 63.02700;70.64520;     -0.20216;3.44386
 63.52700;70.54525;     -0.20320;3.44354
 64.02700;70.44540;     -0.20451;3.44322
