#EXPORTTYPE:DATA SINGLE
#FILE:2024-02-15_Неизотермическая кристаллизация PBS_25-140_3-5-10-15-17-20Kmin_50mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PBS
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:15.02.2024 11:16
#CORR. FILE:
#TEMPCAL:06-12-2021 13:53
#SENSITIVITY:06-12-2021 13:52
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PBS
#SAMPLE MASS /mg:17,842
#MATERIAL:polymer
#REFERENCE:ПВС порошок
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:140°C/10.0(K/min)/50°C
#SEGMENT:S11/24
#SEG. 11:140°C/10.0(K/min)/50°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 50.07500;96.74500;     -0.37304;3.45115
 50.57500;96.69497;     -0.37369;3.45090
 51.07500;96.64494;     -0.37457;3.45066
 51.57500;96.59490;     -0.37552;3.45040
 52.07500;96.54485;     -0.37679;3.45015
 52.57500;96.49476;     -0.37808;3.44989
 53.07500;96.44463;     -0.37930;3.44963
 53.57500;96.39445;     -0.38090;3.44937
 54.07500;96.34424;     -0.38242;3.44910
 54.57500;96.29402;     -0.38368;3.44883
 55.07500;96.24380;     -0.38551;3.44856
 55.57500;96.19358;     -0.38727;3.44829
 56.07500;96.14338;     -0.38912;3.44801
 56.57500;96.09321;     -0.39085;3.44773
 57.07500;96.04306;     -0.39282;3.44745
 57.57500;95.99293;     -0.39478;3.44716
 58.07500;95.94283;     -0.39656;3.44687
 58.57500;95.89274;     -0.39828;3.44658
 59.07500;95.84267;     -0.40030;3.44629
 59.57500;95.79261;     -0.40217;3.44599
 60.07500;95.74253;     -0.40423;3.44569
 60.57500;95.69243;     -0.40641;3.44539
 61.07500;95.64230;     -0.40885;3.44508
 61.57500;95.59214;     -0.41114;3.44477
 62.07500;95.54196;     -0.41376;3.44446
 62.57500;95.49176;     -0.41714;3.44415
 63.07500;95.44157;     -0.42093;3.44383
 63.57500;95.39137;     -0.42504;3.44351
 64.07500;95.34118;     -0.42988;3.44319
 64.57500;95.29100;     -0.43560;3.44286
 65.07500;95.24083;     -0.44235;3.44253
 65.57500;95.19066;     -0.45049;3.44220
 66.07500;95.14050;     -0.46045;3.44187
 66.57500;95.09036;     -0.47284;3.44153
 67.07500;95.04023;     -0.48855;3.44119
 67.57500;94.99014;     -0.50817;3.44085
 68.07500;94.94006;     -0.53246;3.44050
 68.57500;94.89001;     -0.56368;3.44015
 69.07500;94.83998;     -0.60319;3.43980
 69.57500;94.78998;     -0.65333;3.43945
 70.07500;94.74001;     -0.71745;3.43909
 70.57500;94.69007;     -0.79644;3.43873
 71.07500;94.64016;     -0.89124;3.43837
 71.57500;94.59028;     -0.99879;3.43800
 72.07500;94.54042;     -1.11628;3.43763
 72.57500;94.49058;     -1.23919;3.43726
 73.07500;94.44074;     -1.36089;3.43689
 73.57500;94.39091;     -1.47689;3.43651
 74.07500;94.34109;     -1.58138;3.43613
 74.57500;94.29126;     -1.66956;3.43575
 75.07500;94.24141;     -1.73726;3.43536
 75.57500;94.19153;     -1.78188;3.43497
 76.07500;94.14162;     -1.80180;3.43458
 76.57500;94.09168;     -1.79658;3.43419
 77.07500;94.04171;     -1.76697;3.43379
 77.57500;93.99172;     -1.71536;3.43339
 78.07500;93.94173;     -1.64397;3.43299
 78.57500;93.89172;     -1.55711;3.43258
 79.07500;93.84171;     -1.45803;3.43218
 79.57500;93.79170;     -1.35148;3.43176
 80.07500;93.74168;     -1.24075;3.43135
 80.57500;93.69165;     -1.13016;3.43093
 81.07500;93.64161;     -1.02255;3.43052
 81.57500;93.59157;     -0.92119;3.43009
 82.07500;93.54152;     -0.82829;3.42967
 82.57500;93.49147;     -0.74516;3.42924
 83.07500;93.44143;     -0.67082;3.42881
 83.57500;93.39138;     -0.60832;3.42838
 84.07500;93.34133;     -0.55610;3.42794
 84.57500;93.29128;     -0.51340;3.42750
 85.07500;93.24123;     -0.47894;3.42706
 85.57500;93.19117;     -0.45187;3.42661
 86.07500;93.14112;     -0.43156;3.42617
 86.57500;93.09106;     -0.41605;3.42572
 87.07500;93.04101;     -0.40476;3.42526
 87.57500;92.99096;     -0.39649;3.42481
 88.07500;92.94092;     -0.39073;3.42435
 88.57500;92.89089;     -0.38681;3.42389
 89.07500;92.84088;     -0.38441;3.42342
 89.57500;92.79088;     -0.38269;3.42296
 90.07500;92.74089;     -0.38195;3.42248
 90.57500;92.69092;     -0.38174;3.42201
 91.07500;92.64096;     -0.38177;3.42154
 91.57500;92.59102;     -0.38198;3.42106
 92.07500;92.54108;     -0.38220;3.42058
 92.57500;92.49115;     -0.38278;3.42009
 93.07500;92.44123;     -0.38308;3.41961
 93.57500;92.39132;     -0.38334;3.41912
 94.07500;92.34143;     -0.38381;3.41862
 94.57500;92.29154;     -0.38408;3.41813
 95.07500;92.24164;     -0.38444;3.41763
 95.57500;92.19172;     -0.38478;3.41713
 96.07500;92.14178;     -0.38549;3.41663
 96.57500;92.09181;     -0.38556;3.41612
 97.07500;92.04182;     -0.38630;3.41561
 97.57500;91.99182;     -0.38658;3.41510
 98.07500;91.94182;     -0.38742;3.41459
 98.57500;91.89183;     -0.38812;3.41407
 99.07500;91.84186;     -0.38870;3.41355
 99.57500;91.79191;     -0.38944;3.41303
100.07500;91.74199;     -0.39012;3.41250
100.57500;91.69211;     -0.39051;3.41197
101.07500;91.64225;     -0.39119;3.41144
101.57500;91.59241;     -0.39184;3.41091
102.07500;91.54261;     -0.39225;3.41037
102.57500;91.49283;     -0.39288;3.40983
103.07500;91.44307;     -0.39304;3.40929
103.57500;91.39331;     -0.39335;3.40874
104.07500;91.34357;     -0.39386;3.40819
104.57500;91.29383;     -0.39451;3.40764
105.07500;91.24410;     -0.39501;3.40709
105.57500;91.19436;     -0.39530;3.40653
106.07500;91.14463;     -0.39584;3.40597
106.57500;91.09489;     -0.39634;3.40541
107.07500;91.04515;     -0.39687;3.40485
107.57500;90.99541;     -0.39768;3.40428
108.07500;90.94567;     -0.39767;3.40371
108.57500;90.89593;     -0.39820;3.40314
109.07500;90.84621;     -0.39864;3.40256
109.57500;90.79650;     -0.39934;3.40198
110.07500;90.74681;     -0.39969;3.40140
110.57500;90.69713;     -0.40020;3.40082
111.07500;90.64745;     -0.40078;3.40023
111.57500;90.59778;     -0.40114;3.39964
112.07500;90.54809;     -0.40183;3.39905
112.57500;90.49841;     -0.40242;3.39846
113.07500;90.44874;     -0.40315;3.39786
113.57500;90.39907;     -0.40382;3.39726
114.07500;90.34942;     -0.40457;3.39666
114.57500;90.29979;     -0.40519;3.39605
115.07500;90.25018;     -0.40613;3.39544
115.57500;90.20061;     -0.40719;3.39483
116.07500;90.15108;     -0.40811;3.39422
116.57500;90.10161;     -0.40911;3.39360
117.07500;90.05219;     -0.41016;3.39298
117.57500;90.00283;     -0.41123;3.39236
118.07500;89.95353;     -0.41281;3.39173
118.57500;89.90429;     -0.41391;3.39111
119.07500;89.85512;     -0.41523;3.39048
119.57500;89.80603;     -0.41683;3.38984
120.07500;89.75704;     -0.41852;3.38921
120.57500;89.70815;     -0.42001;3.38857
121.07500;89.65937;     -0.42191;3.38793
121.57500;89.61072;     -0.42382;3.38728
122.07500;89.56221;     -0.42582;3.38664
122.57500;89.51382;     -0.42827;3.38599
123.07500;89.46560;     -0.43058;3.38534
123.57500;89.41754;     -0.43296;3.38468
124.07500;89.36967;     -0.43575;3.38402
124.57500;89.32200;     -0.43857;3.38336
125.07500;89.27454;     -0.44130;3.38270
125.57500;89.22730;     -0.44450;3.38203
126.07500;89.18029;     -0.44750;3.38137
126.57500;89.13352;     -0.45078;3.38069
127.07500;89.08700;     -0.45384;3.38002
127.57500;89.04076;     -0.45716;3.37934
128.07500;88.99481;     -0.46062;3.37867
128.57500;88.94915;     -0.46392;3.37798
129.07500;88.90381;     -0.46719;3.37730
129.57500;88.85879;     -0.47013;3.37661
130.07500;88.81409;     -0.47291;3.37592
130.57500;88.76973;     -0.47526;3.37523
131.07500;88.72571;     -0.47708;3.37453
131.57500;88.68202;     -0.47777;3.37384
132.07500;88.63866;     -0.47773;3.37314
132.57500;88.59563;     -0.47625;3.37243
133.07500;88.55289;     -0.47343;3.37173
133.57500;88.51043;     -0.46859;3.37102
134.07500;88.46819;     -0.46126;3.37031
134.57500;88.42611;     -0.45100;3.36959
135.07500;88.38411;     -0.43755;3.36888
135.57500;88.34205;     -0.41984;3.36816
136.07500;88.29978;     -0.39815;3.36743
136.57500;88.25704;     -0.37081;3.36671
